0,0,What is the only contraception that also protects against STDs?
1,0,What does S&M stand for?
2,0,Which person has never featured in a pornographic film?
3,0,What is Trichophilia?
5,0,Which of these is a sextoy?
6,0,Which of these is a synonym for masturbation?
7,0,Which of these foods is not an aphrodisiac?
8,0,Which of these celebrities has never worn a purity ring?
9,0,What is it name given to immitating sex while fully clothed?
10,0,There is one brand of biologic condoms. What is it called?
11,0,What does a sex coach do?
13,0,What is a gastrosexual?
14,0,What is a love plane?
15,0,The best place to keep condoms is:
16,0,How long can you keep a condom with spermicide?
17,0,How long can you keep a regular condom?
18,0,What are the safest condoms?
19,0,The best way to put on a condom is:
20,0,Aids can be transmitted by handshake?
21,0,Kissing your partner risks transmitting Aids?
22,0,"During forplay, you can masterbate each other without risking Aids?"
23,0,There is no need to use protection to perform cunnilingus?
24,0,The risk of contracting Aids is less for heterosexuals?
25,0,It is safe to reuse condoms?
26,0,Sodomy is the sexual position most likely to transmit a STD?
27,0,I can lubricate a condom with any lubricant?
28,0,There must be penetration to catch an STD?
29,0,The risk of HIV infection is higher during a woman's period?
30,0,HIV is easier to catch after menopause?
31,0,HIV is spread only during rough sex?
32,0,All women can use a IUD?
33,0,An IUD blocks ovulation?
34,0,Withdrawing the penis before ejaculation prevents pregnancy?
35,0,The pill does protect against some STDs?
36,0,A diaphragm is a contraceptive installed in the uterus?
37,0,Today there is a pill for men?
38,0,A gorilla's penis is on average 3cm long?
39,0,A penis is considered micro when less than 8cm?
40,0,The first condom was designed as a contraceptive?
41,0,Can you be born with a crooked penis?
42,0,Circumcision reduces the risk of STDs?
43,0,"A ""Prince Albert"" is a piercing of the penis?"
44,0,It is possible to break a penis?
45,0,A persistant erection can be dangerous?
46,0,"In New Guinea, a man gives his foreskin to his sister?"
48,0,During an erection the tissue fills with blood?
49,0,Ejaculations while sleeping are a sign of sexual problems?
50,0,The foreskin is the skin that covers the glans?
51,0,The intensity of an orgasm is related to the quantity of sperm ejaculated?
52,0,"Contrary to women, men have insensitive nipples?"
53,0,Flacid penis size is proportional to erect penis size?
54,0,The female G-spot is equivalent to the male glans penis?
55,0,"When excited, the G-spot increases it's size?"
56,0,Some positions better stimulate the G-spot?
57,0,"The first time the G-spot is stimulated, it can feel like a need to urinate?"
58,0,G-spot stimulation is required for a female orgasm?
59,0,"In men, the equivalent of the G-spot is the prostate?"
60,0,"The G-spot is located on the front wall of the vagina, behind the pubic bone?"
61,0,"The G-spot is named after it's discoverer, Dr. Grafenberg?"
62,0,"Until the 17th century, the word ""orgasm"" meant an excess of anger and nothing to do with sex?"
63,0,Stress can cause sexual problems?
64,0,Woman can have multiple orgasms?
65,0,Many woman discover vaginal pleasure at age 30-35?
66,0,"For men, an orgasm & ejaculation are indistinguishable?"
67,0,Where does the Kamasutra come from?
69,0,Kamasutra is a synonym for Tantrism
70,0,The Kamasutra came from asian and arrived in the western world when?
71,0,The Kamasutra is one of the top 10 selling books in the world?
72,0,"What is the name of the position with the man sitting, legs apart and the woman rides him with her legs around his waist?"
73,0,What position suits when the woman is pregnant?
74,0,Which of these is not a sexual position?
